Analysis Time,Product Name,Product Code,Sample Type,Sample Number,Sample Comment,Instrument Name,Instrument Serial Number,Moisture,Global H Moisture,Neighbourhood H Moisture,Protein,Global H Protein,Neighbourhood H Protein,Fat,Global H Fat,Neighbourhood H Fat,SFA,Global H SFA,Neighbourhood H SFA,t-statistics SFA,Carbs,Collagen,Global H Collagen,Neighbourhood H Collagen,t-statistics Collagen,Salt,Global H Salt,Neighbourhood H Salt,t-statistics Salt,Salt Na,Global H Salt Na,Neighbourhood H Salt Na,Water activity,Global H Water activity,Neighbourhood H Water activity,Ash,Global H Ash,Neighbourhood H Ash,L,a,b,Energy kJ_100g,Energy_kcal_100g
7/8/2022 2:27:40 PM,5-4. Duck (Medium cup),,Normal,1月1日,,FoodScan 2,91880802,23.4,16.53,6.91,41.59,17.6,7.55,-10.02,17.17,6.85,-6.75,39.47,18.85,-3.07,43.09,1.07,22.82,9.19,-0.86,-1.24,25.41,9.91,-2.48,0.37,83.24,70.18,0.86,102.83,86.5,1.94,33.5,17.38,31.2,19.5,15.2,1069,249
7/8/2022 2:28:21 PM,5-4. Duck (Medium cup),,Normal,1月2日,,FoodScan 2,91880802,23.62,16.18,6.73,41.55,17.32,7.42,-10.01,16.82,6.65,-6.88,39.18,18.67,-3.1,42.9,1.07,22.15,8.76,-0.86,-1.2,25.01,9.8,-2.46,0.37,81.68,69.19,0.86,101.57,85.25,1.94,33.09,17.1,30.6,19.4,15.3,1065,248
7/8/2022 2:28:47 PM,5-4. Duck (Medium cup),,Normal,1月3日,,FoodScan 2,91880802,23.59,15.99,6.59,42.2,17.28,7.24,-9.9,16.63,6.77,-6.65,39.21,18.61,-3.04,42.18,1.07,22.42,8.95,-0.86,-1.07,25.07,9.92,-2.35,0.53,80.7,68.07,0.86,99.85,83.88,1.94,33.09,17.13,31.9,20,16.1,1068,248
7/8/2022 2:30:10 PM,5-4. Duck (Medium cup),,Normal,1-1-PD,,FoodScan 2,91880802,25.97,17.63,6.41,43.93,17.56,6.63,-10.9,18.84,6.27,-0.91,39.15,18.9,-1.54,39.02,0.65,22.36,8.84,-1.23,0.75,25.42,7.17,-0.88,0.63,156.04,139.94,0.79,110.18,92.38,1.99,26.69,14.63,31.6,18.1,14,1007,234
7/8/2022 2:30:37 PM,5-4. Duck (Medium cup),,Normal,1-2-PD,,FoodScan 2,91880802,25.52,16.87,5.8,43.79,16.84,6.02,-10.75,18.08,5.71,-1.25,38.21,18.38,-1.63,39.38,0.39,21.73,8.54,-1.46,0.43,24.6,6.98,-1.15,0.74,153.58,137.58,0.79,114.78,96.22,2.06,26,14.14,31.6,18.1,14.1,1016,236
7/8/2022 2:31:05 PM,5-4. Duck (Medium cup),,Normal,1-3-PD,,FoodScan 2,91880802,26.38,17.49,6.25,42.32,17.35,6.42,-10.99,18.64,6.1,-0.91,38.81,18.66,-1.54,39.89,0.98,22.52,8.94,-0.94,0.68,25.53,6.97,-0.94,0.75,154.24,138.2,0.78,110.79,92.79,2.4,26.69,14.59,31.8,17.8,13.9,991,230
7/8/2022 2:34:39 PM,5-4. Duck (Medium cup),,Normal,1-1-CO-PD,,FoodScan 2,91880802,68.77,0.54,0.08,7.25,0.57,0.09,-1.35,0.47,0.06,2.46,0.87,0.03,-0.67,23.04,0.61,0.39,0,-1.27,1.87,0.2,0.03,0.02,3.8,15.67,11.03,0.93,10.13,6.17,2.28,1.04,0.31,81.8,5,23.3,465,109
7/8/2022 2:35:18 PM,5-4. Duck (Medium cup),,Normal,1-2-CO-PD,,FoodScan 2,91880802,68.79,0.54,0.08,7.25,0.57,0.09,-1.33,0.47,0.06,2.45,0.87,0.03,-0.67,23.01,0.6,0.39,0,-1.27,1.91,0.2,0.03,0.05,3.82,15.6,10.97,0.93,10.09,6.15,2.29,1.04,0.31,81.2,4.9,23.6,465,109
7/8/2022 2:35:43 PM,5-4. Duck (Medium cup),,Normal,1-3-CO-PD,,FoodScan 2,91880802,68.74,0.54,0.07,7.23,0.57,0.09,-1.33,0.47,0.07,2.45,0.87,0.03,-0.67,23.1,0.61,0.39,0,-1.27,2.01,0.19,0.03,0.13,3.81,15.64,11.01,0.93,10.13,6.19,2.26,1.05,0.31,81.4,5,23.8,467,109
7/8/2022 2:48:03 PM,5-4. Duck (Medium cup),,Normal,1-1-CO-M,,FoodScan 2,91880802,68.19,0.51,0.03,7.93,0.51,0.04,-0.8,0.42,0.03,-0.3,0.96,0.05,-1.38,22.66,0.46,0.42,0,-1.4,1.58,0.19,0.01,-0.22,3.73,4.81,1.82,0.96,5.05,1.75,2.01,0.91,0.35,82.7,4.2,22.4,491,115
